date,TICKER,RET
20118,MSFT,0.004793
30118,MSFT,0.004654
40118,MSFT,0.008801
50118,MSFT,0.012398
80118,MSFT,0.00102
90118,MSFT,-0.00068
100118,MSFT,-0.004534
110118,MSFT,0.002961
120118,MSFT,0.017257
160118,MSFT,-0.013951
170118,MSFT,0.02026
180118,MSFT,-0.000444
190118,MSFT,-0.00111
220118,MSFT,0.017889
230118,MSFT,0.003166
240118,MSFT,-0.000871
250118,MSFT,0.005554
260118,MSFT,0.018737
290118,MSFT,-0.001488
300118,MSFT,-0.012564
310118,MSFT,0.024477
10218,MSFT,-0.007894
20218,MSFT,-0.02631
50218,MSFT,-0.041185
60218,MSFT,0.037841
70218,MSFT,-0.018833
80218,MSFT,-0.051334
90218,MSFT,0.03729
120218,MSFT,0.010773
130218,MSFT,0.007854
140218,MSFT,0.015585
150218,MSFT,0.020372
160218,MSFT,-0.007123
200218,MSFT,0.007826
210218,MSFT,-0.013266
220218,MSFT,0.002623
230218,MSFT,0.025401
260218,MSFT,0.014459
270218,MSFT,-0.012786
280218,MSFT,-0.004565
10318,MSFT,-0.009811
20318,MSFT,0.002154
50318,MSFT,0.006341
60318,MSFT,-0.003417
70318,MSFT,0.005787
80318,MSFT,0.006073
90318,MSFT,0.022345
120318,MSFT,0.002382
130318,MSFT,-0.024388
140318,MSFT,-0.005932
150318,MSFT,0.003516
160318,MSFT,0.00446
190318,MSFT,-0.018076
200318,MSFT,0.002584
210318,MSFT,-0.006979
220318,MSFT,-0.029087
230318,MSFT,-0.029068
260318,MSFT,0.075705
270318,MSFT,-0.045959
280318,MSFT,-0.000894
290318,MSFT,0.021031
20418,MSFT,-0.03013
30418,MSFT,0.013443
40418,MSFT,0.029205
50418,MSFT,0.000541
60418,MSFT,-0.023273
90418,MSFT,0.005985
100418,MSFT,0.023246
110418,MSFT,-0.010982
120418,MSFT,0.018724
130418,MSFT,-0.005343
160418,MSFT,0.01171
170418,MSFT,0.020176
180418,MSFT,0.003851
190418,MSFT,-0.003422
200418,MSFT,-0.011549
230418,MSFT,0.003684
240418,MSFT,-0.023387
250418,MSFT,-0.008699
260418,MSFT,0.021125
270418,MSFT,0.01655
300418,MSFT,-0.024003
10518,MSFT,0.015826
20518,MSFT,-0.015684
30518,MSFT,0.005989
40518,MSFT,0.011587
70518,MSFT,0.011139
80518,MSFT,-0.004261
90518,MSFT,0.011794
100518,MSFT,0.010006
